Player,NBABPM,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
Alex Len,-1.9,7.0,250.0,7.29,60,24.5,9.7,5.32,22.1,0.569,0.539,565,16.5,7.2,0.5,8.6,15.4,20.7,0.165,5.5,1,0,0
Nerlens Noel,0.9,6.98,206.0,7.31,24,31.9,10.5,5.78,27.3,0.583,0.59,257,17.4,9.5,3.9,13.2,17.3,17.4,0.206,12.1,1,0,0
Ben McLemore,-3.1,6.4,189.0,6.65,37,32.2,15.9,7.54,23.2,0.633,0.586,530,9.4,12.6,1.8,2.2,14.2,23.2,0.217,10.5,0,0,1
Kentavious Caldwell-Pope,-0.7,6.46,204.0,6.67,64,33.0,15.8,7.02,24.0,0.543,0.507,902,11.5,13.3,3.8,1.6,9.7,27.0,0.182,9.9,0,0,1
Trey Burke,-1.2,6.1,187.0,6.46,73,35.7,16.9,9.51,24.3,0.556,0.519,1307,6.1,33.2,2.3,1.4,14.0,27.4,0.197,10.1,0,1,0
CJ McCollum,1.2,6.27,197.0,6.52,111,32.9,21.3,-5.41,29.1,0.563,0.501,2202,11.0,20.1,3.6,1.5,11.3,32.4,0.224,8.6,0,0,1
Michael Carter-Williams,-1.2,6.48,184.0,6.6,66,25.4,8.2,8.29,20.9,0.493,0.445,672,8.2,39.1,4.7,2.0,21.8,21.3,0.176,9.2,0,1,0
Steven Adams,0.3,7.0,255.0,7.38,32,23.4,7.2,5.63,23.2,0.555,0.571,228,18.0,5.4,1.9,11.2,14.4,17.7,0.185,8.1,1,0,0
Kelly Olynyk,0.9,7.0,234.0,6.81,101,17.2,8.9,4.0,27.0,0.641,0.616,851,16.0,13.1,1.8,3.1,16.6,24.9,0.237,9.9,1,0,0
Shabazz Muhammad,-2.0,6.52,222.0,6.92,143,32.3,13.7,8.64,21.9,0.528,0.487,520,9.6,5.8,1.3,0.4,8.6,29.8,0.149,4.7,0,0,1
Shane Larkin,-2.4,5.96,171.0,5.9,68,31.3,11.2,7.03,19.4,0.566,0.524,792,6.3,23.4,3.5,0.3,17.5,20.4,0.159,6.8,0,1,0
Tony Snell,-1.9,6.6,198.0,6.96,104,24.8,9.2,4.95,15.6,0.571,0.533,883,5.9,18.1,1.3,1.6,15.6,20.1,0.138,5.6,0,0,1
Gorgui Dieng,0.3,6.9,230.0,7.29,102,27.3,8.3,8.78,22.0,0.568,0.546,887,16.6,9.0,2.2,10.6,18.1,16.4,0.19,9.2,1,0,0
Mason Plumlee,1.4,7.04,238.0,6.92,141,25.9,9.8,8.87,22.0,0.584,0.575,1441,17.3,11.1,1.8,5.0,19.2,20.2,0.181,8.4,1,0,0
Solomon Hill,-2.2,6.58,226.0,6.75,139,29.0,10.3,7.05,17.9,0.582,0.538,1480,11.8,15.8,1.9,1.3,19.1,19.7,0.149,6.9,0,0,1
Tim Hardaway Jr.,-0.9,6.52,199.0,6.58,107,33.3,14.3,9.9,18.3,0.539,0.507,1416,7.9,13.1,1.4,1.0,11.4,25.2,0.138,5.6,0,0,1
Reggie Bullock,-0.6,6.58,200.0,6.73,100,24.6,9.9,8.41,19.5,0.568,0.555,920,10.8,12.1,2.0,0.8,9.7,18.2,0.176,8.8,0,0,1
Andre Roberson,-0.6,6.58,206.0,6.92,105,28.3,9.6,6.43,23.5,0.561,0.549,1058,21.0,8.4,3.3,5.4,16.9,19.0,0.185,7.8,0,0,1
Archie Goodwin,-3.0,6.44,189.0,6.79,33,31.8,14.1,5.78,16.9,0.509,0.464,467,8.5,16.8,2.1,1.4,18.1,27.2,0.117,2.1,0,0,1
Allen Crabbe,-1.6,6.52,197.0,6.94,98,34.7,15.7,7.16,20.1,0.571,0.533,1380,10.0,13.6,1.5,1.7,11.9,23.3,0.159,7.6,0,0,1
Isaiah Canaan,-2.4,6.0,188.0,6.38,132,29.4,15.5,-3.56,22.9,0.606,0.558,1930,5.9,22.2,2.4,0.3,15.5,26.7,0.21,5.3,0,1,0
Ray McCallum,-2.6,6.15,191.0,6.27,102,34.5,15.9,0.84,22.8,0.556,0.507,1668,8.4,25.9,2.9,1.0,13.8,23.7,0.172,5.3,0,1,0
Nate Wolters,-2.6,6.4,196.0,6.31,127,33.1,18.5,-3.55,28.1,0.56,0.497,2455,8.8,33.9,2.7,0.5,11.8,29.3,0.226,7.6,0,1,0
Jeff Withey,0.5,7.04,222.0,7.17,117,19.8,8.0,8.34,26.0,0.616,0.569,892,15.9,5.8,1.5,14.3,15.3,19.7,0.224,11.1,1,0,0
Mike Muscala,-0.3,6.96,230.0,7.08,133,28.7,15.3,-3.94,29.5,0.574,0.508,1962,17.8,13.7,0.9,7.9,10.9,28.4,0.241,8.9,1,0,0
Ryan Kelly,-2.6,6.98,228.0,6.96,126,19.3,7.5,8.87,20.8,0.585,0.535,919,11.1,9.0,1.7,5.0,11.4,18.8,0.191,9.6,1,0,0
James Ennis,-1.5,6.58,201.0,6.96,67,31.0,13.2,1.39,22.4,0.615,0.574,861,10.4,15.6,3.2,3.5,18.9,21.5,0.172,6.9,0,0,1
Anthony Davis,6.2,6.88,222.0,7.46,40,32.0,14.2,7.93,35.1,0.654,0.628,550,19.0,7.5,2.5,13.7,8.6,18.8,0.31,17.2,1,0,0
Michael Kidd-Gilchrist,-1.8,6.63,233.0,7.0,40,31.1,11.9,7.93,21.2,0.57,0.511,497,14.0,10.8,1.9,2.8,17.3,20.6,0.192,7.7,0,0,1
Bradley Beal,1.8,6.4,202.0,6.67,37,34.2,14.8,7.33,22.0,0.575,0.525,522,12.3,12.7,2.5,2.6,14.3,23.0,0.18,8.4,0,0,1
Dion Waiters,-2.1,6.33,221.0,6.6,71,20.4,9.7,8.4,23.3,0.551,0.516,642,5.5,19.7,4.4,1.3,11.1,25.0,0.198,8.9,0,0,1
Thomas Robinson,-3.5,6.73,244.0,7.27,105,18.7,9.8,8.6,26.1,0.55,0.529,995,22.8,11.0,1.9,3.9,15.6,28.3,0.217,8.1,1,0,0
Damian Lillard,4.8,6.23,189.0,6.65,104,32.3,18.6,-2.21,29.3,0.606,0.54,1498,8.1,24.3,2.3,0.6,13.4,28.6,0.209,9.2,0,1,0
Harrison Barnes,-1.0,6.67,228.0,6.94,75,29.3,16.3,8.61,20.3,0.524,0.487,1095,9.7,8.4,1.7,1.3,11.1,27.3,0.17,7.1,0,0,1
Terrence Ross,-0.7,6.58,197.0,6.6,69,24.4,12.3,6.51,21.1,0.557,0.536,748,10.6,9.4,2.1,2.6,11.0,23.8,0.176,7.5,0,0,1
Andre Drummond,1.3,6.98,279.0,7.52,34,28.4,10.0,8.07,21.9,0.509,0.538,328,15.6,3.4,1.8,9.9,13.5,20.9,0.121,4.9,1,0,0
Austin Rivers,-3.0,6.42,203.0,6.6,34,33.2,15.5,8.4,16.9,0.538,0.505,488,6.0,13.0,1.7,0.1,13.9,25.2,0.124,4.0,0,0,1
Meyers Leonard,-1.4,7.1,250.0,7.25,65,19.8,7.7,9.55,20.3,0.601,0.569,471,15.4,8.5,1.0,6.5,18.4,21.1,0.149,4.9,1,0,0
Jeremy Lamb,0.8,6.44,179.0,6.92,75,32.1,14.1,9.25,21.3,0.58,0.553,940,8.2,11.2,2.0,1.9,11.6,22.2,0.164,8.1,0,0,1
Kendall Marshall,-3.5,6.35,198.0,6.46,73,28.8,7.2,8.61,16.1,0.541,0.505,732,4.2,43.2,2.2,0.4,28.5,14.7,0.132,6.1,0,1,0
John Henson,-0.4,6.88,216.0,7.42,109,23.8,10.3,9.02,23.3,0.501,0.5,1067,17.6,7.8,1.5,10.3,12.9,22.7,0.166,8.6,1,0,0
Maurice Harkless,-0.7,6.73,207.0,7.0,32,36.1,15.5,6.98,21.1,0.504,0.472,476,14.0,9.6,2.6,4.2,14.0,24.9,0.109,4.0,0,0,1
Tyler Zeller,-2.0,7.04,247.0,7.0,117,23.0,12.8,8.85,27.3,0.597,0.543,1328,15.1,4.9,1.6,4.6,11.6,24.1,0.231,10.2,1,0,0
Terrence Jones,0.5,6.79,252.0,7.19,76,30.4,14.0,8.42,24.9,0.526,0.493,1047,15.1,9.5,2.4,5.9,11.9,25.4,0.204,9.1,1,0,0
Andrew Nicholson,-3.6,6.79,234.0,7.33,123,29.9,17.1,1.35,27.7,0.616,0.585,1499,14.9,7.4,0.9,6.0,14.8,29.1,0.202,6.8,1,0,0
Jared Sullinger,-0.4,6.75,268.0,7.1,74,31.0,17.3,8.73,30.3,0.591,0.541,1225,19.5,8.0,2.1,3.0,10.7,27.4,0.282,10.6,1,0,0
John Jenkins,-1.9,6.35,212.0,6.71,98,30.6,16.9,7.59,23.6,0.648,0.607,1389,5.2,8.2,1.3,0.9,9.2,24.2,0.206,10.5,0,0,1
Tony Wroten,-3.4,6.5,203.0,6.75,35,30.3,16.0,5.27,20.4,0.488,0.453,579,9.3,24.5,3.5,1.2,18.7,31.2,0.12,4.7,0,1,0
Miles Plumlee,-1.9,6.98,252.0,7.06,135,15.8,4.8,8.75,18.5,0.575,0.559,639,17.3,3.9,1.7,3.7,19.6,16.2,0.17,5.0,1,0,0
Perry Jones,-3.5,6.94,234.0,7.15,63,32.2,13.7,6.41,20.5,0.558,0.531,819,14.2,8.3,1.3,2.6,13.9,22.4,0.162,4.6,0,0,1
Festus Ezeli,-2.0,6.96,264.0,7.48,121,17.9,7.7,6.64,22.9,0.577,0.562,779,14.6,1.8,1.2,9.2,19.4,23.7,0.157,5.6,1,0,0
Jeff Taylor,-4.2,6.6,213.0,6.52,134,29.3,14.2,6.64,21.7,0.562,0.524,1474,11.2,14.3,2.2,1.5,15.5,26.0,0.167,6.6,0,0,1
Jae Crowder,0.2,6.54,241.0,6.77,72,30.2,14.6,8.0,26.7,0.584,0.56,966,14.5,12.5,3.6,3.2,7.6,21.9,0.233,11.8,0,0,1
Draymond Green,2.6,6.63,236.0,7.1,145,25.0,10.5,9.76,25.4,0.543,0.506,1470,18.0,24.6,3.0,3.6,16.5,23.7,0.212,12.0,1,0,0
Quincy Acy,-2.0,6.65,224.0,7.23,139,25.1,9.8,7.2,22.4,0.635,0.604,1107,14.4,5.3,1.7,5.3,16.7,19.1,0.187,6.1,1,0,0
Khris Middleton,0.6,6.69,216.0,6.9,87,26.0,11.3,7.42,19.6,0.534,0.489,956,10.6,18.7,2.4,0.9,15.9,25.5,0.156,7.6,0,0,1
Will Barton,-0.2,6.5,174.0,6.81,70,32.9,15.2,4.2,22.1,0.549,0.517,1044,11.9,18.4,2.6,1.9,14.5,24.9,0.176,6.8,0,0,1
Mike Scott,-1.8,6.73,241.0,6.9,130,26.6,11.8,6.34,26.6,0.575,0.529,1001,16.6,8.9,1.3,1.4,13.6,24.1,0.18,8.8,1,0,0
Justin Hamilton,-0.9,7.0,260.0,7.28,96,21.8,7.9,6.52,20.8,0.58,0.538,610,13.7,4.8,1.2,4.4,13.4,18.4,0.157,5.9,1,0,0
Darius Miller,-2.3,6.63,233.0,6.75,152,24.9,8.2,7.12,17.1,0.568,0.537,1025,7.3,13.2,1.7,2.5,16.3,17.3,0.147,8.1,0,0,1
Kyle O'Quinn,0.9,6.83,241.0,7.4,129,27.5,12.5,-7.19,26.1,0.602,0.577,1367,18.7,8.5,1.1,8.8,16.4,23.0,0.178,4.3,1,0,0
Robert Sacre,-4.0,7.0,270.0,7.28,136,21.7,9.3,3.36,22.0,0.575,0.504,1142,13.7,6.1,1.4,6.7,16.6,22.8,0.176,5.1,1,0,0
Kyrie Irving,4.6,6.29,191.0,6.33,11,27.5,17.5,8.32,32.5,0.697,0.615,189,6.7,29.8,3.0,1.8,16.4,26.4,0.32,14.8,0,1,0
Derrick Williams,-1.6,6.73,248.0,7.13,69,29.2,17.8,8.05,29.7,0.66,0.621,1121,16.1,7.7,1.6,2.3,14.7,27.9,0.242,12.1,1,0,0
Tristan Thompson,-1.6,6.73,227.0,7.1,36,30.7,13.1,7.96,24.2,0.536,0.546,475,13.8,8.1,1.8,7.2,12.7,22.4,0.2,8.9,1,0,0
Brandon Knight,-1.6,6.27,177.0,6.56,38,35.9,17.3,8.91,19.3,0.553,0.508,652,6.3,23.4,1.1,0.6,16.8,27.0,0.157,5.5,0,1,0
Kemba Walker,2.9,6.08,184.0,6.29,111,32.9,16.1,9.39,25.7,0.539,0.475,1450,7.3,26.6,3.2,0.7,13.5,26.2,0.196,13.1,0,1,0
Jimmer Fredette,-2.5,6.17,195.0,6.45,139,29.6,18.7,3.56,30.7,0.596,0.535,1723,5.0,26.3,2.1,0.3,13.8,30.5,0.223,10.8,0,1,0
Klay Thompson,0.7,6.6,206.0,6.75,98,34.4,17.9,6.32,23.6,0.55,0.509,1250,8.7,20.3,2.6,2.7,15.3,31.9,0.159,9.8,0,0,1
Alec Burks,-0.9,6.5,193.0,6.83,68,30.9,19.0,6.65,27.8,0.592,0.522,1260,11.3,17.0,2.1,1.2,12.6,30.0,0.206,8.1,0,0,1
Markieff Morris,-1.4,6.77,241.0,6.9,109,19.3,8.5,7.92,25.7,0.603,0.583,733,17.7,10.9,1.7,4.8,18.4,21.8,0.208,10.3,1,0,0
Marcus Morris,-0.5,6.73,230.0,6.83,109,24.0,12.6,7.92,27.5,0.601,0.579,1029,14.6,10.2,1.9,1.8,13.1,24.5,0.232,10.9,0,0,1
Kawhi Leonard,6.8,6.58,227.0,7.25,70,31.9,14.1,5.29,25.0,0.513,0.473,1014,19.0,14.4,2.7,2.2,13.7,26.0,0.211,9.2,0,0,1
Nikola Vučević,2.3,6.98,260.0,7.38,87,27.7,11.1,7.86,24.2,0.571,0.535,884,17.7,10.1,1.0,4.4,13.3,22.7,0.199,9.4,1,0,0
Iman Shumpert,-1.7,6.46,222.0,6.79,92,31.3,12.7,7.34,19.9,0.503,0.453,854,7.9,26.5,4.3,0.6,19.5,23.9,0.135,9.6,0,0,1
Chris Singleton,-3.2,6.75,230.0,7.08,95,29.1,10.3,7.05,18.8,0.507,0.484,677,11.9,10.6,4.1,5.1,19.1,21.4,0.145,9.0,0,0,1
Tobias Harris,1.2,6.65,223.0,6.92,34,29.2,15.3,8.73,23.8,0.54,0.489,476,14.0,10.4,1.4,3.4,11.4,27.2,0.177,7.3,0,0,1
Kenneth Faried,0.5,6.63,225.0,7.0,136,29.1,14.8,-4.03,33.5,0.579,0.57,1125,25.8,6.0,3.3,8.5,14.9,26.1,0.245,8.5,1,0,0
Reggie Jackson,0.4,6.17,208.0,6.45,99,28.0,12.7,7.25,23.9,0.56,0.527,1037,9.2,26.8,1.6,1.6,15.3,24.8,0.156,9.8,0,1,0
MarShon Brooks,-1.6,6.44,195.0,7.08,113,25.3,14.4,7.44,25.8,0.559,0.526,1118,9.3,13.5,2.5,2.5,12.4,27.9,0.154,10.3,0,0,1
Jordan Hamilton,-0.1,6.71,228.0,6.79,70,26.2,14.5,7.67,23.3,0.538,0.516,928,11.7,14.2,1.8,1.8,11.7,27.7,0.205,11.4,0,0,1
Norris Cole,-4.1,6.15,174.0,6.19,140,29.4,14.1,1.92,25.6,0.539,0.48,1332,6.4,26.0,3.5,0.3,13.4,26.8,0.165,10.2,0,1,0
Cory Joseph,-1.0,6.27,186.0,6.46,36,32.4,10.4,7.96,15.1,0.526,0.503,372,6.0,17.3,1.9,0.9,13.1,17.3,0.152,6.5,0,1,0
Jimmy Butler,4.5,6.65,222.0,6.63,106,29.6,12.0,8.21,24.7,0.607,0.531,1067,11.1,11.2,2.4,1.6,9.5,19.0,0.203,9.4,0,0,1
Kyle Singler,-2.5,6.71,228.0,6.84,148,33.0,16.2,8.97,21.6,0.548,0.504,1272,11.6,11.9,1.6,1.8,12.6,24.7,0.21,6.4,0,0,1
Shelvin Mack,-1.9,6.21,209.0,6.63,108,31.2,14.1,4.05,21.0,0.544,0.507,1103,8.3,25.4,2.1,0.3,14.5,26.3,0.164,6.6,0,1,0
Chandler Parsons,1.1,6.81,221.0,6.79,142,27.9,10.2,5.9,20.5,0.56,0.546,861,13.0,19.1,2.0,0.9,15.3,19.6,0.157,8.3,0,0,1
Jon Leuer,-0.7,6.96,223.0,7.0,123,22.8,11.2,8.06,29.2,0.559,0.529,891,12.8,12.4,1.1,3.3,10.3,28.4,0.207,9.8,1,0,0
Lavoy Allen,-2.1,6.75,260.0,7.03,135,32.2,10.5,4.24,21.8,0.562,0.542,821,16.5,14.3,1.1,5.0,13.0,19.3,0.176,5.6,1,0,0
DeAndre Liggins,-2.2,6.52,202.0,6.92,100,21.9,5.8,6.85,14.0,0.505,0.472,448,7.6,17.0,2.4,2.1,20.5,16.4,0.114,5.9,0,0,1
E'Twaun Moore,-1.9,6.33,191.0,6.79,140,32.3,15.3,7.64,22.6,0.536,0.508,1104,8.0,20.2,2.5,1.2,12.7,27.5,0.171,10.2,0,0,1
Isaiah Thomas,2.2,5.85,186.0,6.15,105,30.4,16.4,7.81,21.5,0.538,0.489,1184,6.5,26.2,2.1,0.2,14.8,26.6,0.165,8.1,0,1,0
